customer_id,signup_date,initial_plan,acquisition_channel,cac,country
RETAIL-12346,2009-12-01,n/a,paid_search,171.5,United Kingdom
RETAIL-12347,2010-10-01,n/a,paid_social,209.64,Iceland
RETAIL-12348,2010-09-01,n/a,paid_search,159.51,Finland
RETAIL-12349,2009-12-01,n/a,organic,35.41,Italy
RETAIL-12350,2011-02-01,n/a,referral,91.53,Norway
RETAIL-12351,2010-11-01,n/a,paid_social,255.39,Unspecified
RETAIL-12352,2010-11-01,n/a,organic,36.24,Norway
RETAIL-12353,2010-10-01,n/a,paid_social,217.08,Bahrain
RETAIL-12354,2011-04-01,n/a,paid_search,121.79,Spain
RETAIL-12355,2010-05-01,n/a,referral,48.69,Bahrain
RETAIL-12356,2010-10-01,n/a,referral,71.04,Portugal
RETAIL-12357,2010-11-01,n/a,organic,52.26,Switzerland
RETAIL-12358,2009-12-01,n/a,organic,59.97,Austria
RETAIL-12359,2009-12-01,n/a,referral,60.68,Cyprus
RETAIL-12360,2010-02-01,n/a,referral,49.35,Austria
RETAIL-12361,2010-01-01,n/a,paid_search,164.02,Belgium
RETAIL-12362,2009-12-01,n/a,paid_social,210.79,Belgium
RETAIL-12363,2011-04-01,n/a,paid_search,136.11,Unspecified
RETAIL-12364,2011-08-01,n/a,paid_search,122.16,Belgium
RETAIL-12365,2011-02-01,n/a,paid_social,220.31,Cyprus
RETAIL-12366,2010-03-01,n/a,organic,32.81,Cyprus
RETAIL-12367,2011-12-01,n/a,organic,36.63,Denmark
RETAIL-12368,2010-03-01,n/a,paid_search,149.94,Cyprus
RETAIL-12369,2010-03-01,n/a,organic,38.77,Austria
RETAIL-12370,2010-02-01,n/a,organic,36.74,Cyprus
RETAIL-12371,2010-03-01,n/a,referral,79.08,Switzerland
RETAIL-12372,2011-02-01,n/a,referral,61.73,Denmark
RETAIL-12373,2010-02-01,n/a,paid_social,226.8,Austria
RETAIL-12374,2010-04-01,n/a,paid_search,116.7,Austria
RETAIL-12375,2011-09-01,n/a,referral,47.48,Finland
RETAIL-12376,2010-10-01,n/a,referral,55.53,Switzerland
RETAIL-12377,2010-04-01,n/a,organic,27.79,Switzerland
RETAIL-12378,2010-05-01,n/a,organic,41.17,Switzerland
RETAIL-12379,2010-06-01,n/a,organic,43.86,Belgium
RETAIL-12380,2010-02-01,n/a,paid_search,100.41,Belgium
RETAIL-12381,2011-08-01,n/a,organic,44.1,Norway
RETAIL-12382,2010-01-01,n/a,referral,74.25,Netherlands
RETAIL-12383,2010-12-01,n/a,organic,28.18,Belgium
RETAIL-12384,2011-08-01,n/a,paid_social,200.26,Switzerland
RETAIL-12385,2010-11-01,n/a,organic,39.11,Belgium
RETAIL-12386,2010-12-01,n/a,organic,22.86,Australia
RETAIL-12387,2010-10-01,n/a,paid_social,172.01,Australia
RETAIL-12388,2010-05-01,n/a,referral,42.84,Australia
RETAIL-12389,2010-02-01,n/a,paid_social,282.0,Australia
RETAIL-12390,2011-09-01,n/a,paid_search,171.33,Belgium
RETAIL-12391,2010-02-01,n/a,paid_search,94.05,Cyprus
RETAIL-12392,2010-04-01,n/a,organic,49.39,Australia
RETAIL-12393,2010-10-01,n/a,referral,79.32,Australia
RETAIL-12394,2011-05-01,n/a,referral,69.6,Belgium
RETAIL-12395,2010-04-01,n/a,paid_social,207.04,Belgium
RETAIL-12396,2010-02-01,n/a,referral,56.1,RSA
RETAIL-12397,2011-07-01,n/a,paid_search,152.7,Belgium
RETAIL-12398,2011-10-01,n/a,organic,30.06,Switzerland
RETAIL-12399,2010-03-01,n/a,referral,79.01,Belgium
RETAIL-12400,2010-10-01,n/a,referral,84.51,Australia
RETAIL-12401,2011-02-01,n/a,organic,37.52,Belgium
RETAIL-12402,2010-02-01,n/a,paid_social,155.91,Belgium
RETAIL-12403,2010-07-01,n/a,referral,68.39,Denmark
RETAIL-12404,2010-01-01,n/a,paid_social,139.68,Finland
RETAIL-12405,2011-07-01,n/a,paid_search,101.55,Finland
RETAIL-12406,2010-01-01,n/a,paid_search,138.57,Denmark
RETAIL-12407,2011-03-01,n/a,paid_search,134.4,Belgium
RETAIL-12408,2010-07-01,n/a,paid_search,128.42,Belgium
RETAIL-12409,2010-05-01,n/a,organic,35.78,Switzerland
RETAIL-12410,2010-07-01,n/a,referral,62.39,Switzerland
RETAIL-12411,2010-10-01,n/a,organic,34.44,Australia
RETAIL-12412,2010-06-01,n/a,referral,85.9,Denmark
RETAIL-12413,2010-11-01,n/a,organic,29.69,France
RETAIL-12414,2010-09-01,n/a,paid_social,120.5,Austria
RETAIL-12415,2010-06-01,n/a,organic,22.6,Australia
RETAIL-12416,2010-02-01,n/a,paid_search,85.21,Australia
RETAIL-12417,2009-12-01,n/a,referral,80.97,Belgium
RETAIL-12418,2010-03-01,n/a,paid_social,199.19,Switzerland
RETAIL-12419,2010-10-01,n/a,paid_search,136.61,Spain
RETAIL-12420,2011-10-01,n/a,organic,57.61,Cyprus
RETAIL-12421,2010-07-01,n/a,paid_social,270.04,Spain
RETAIL-12422,2009-12-01,n/a,paid_social,162.55,Switzerland
RETAIL-12423,2010-08-01,n/a,paid_social,209.69,Belgium
RETAIL-12424,2009-12-01,n/a,paid_search,138.39,Australia
RETAIL-12425,2010-09-01,n/a,organic,42.84,Portugal
RETAIL-12426,2010-02-01,n/a,organic,42.94,Germany
RETAIL-12427,2010-12-01,n/a,paid_social,155.21,Germany
RETAIL-12428,2011-03-01,n/a,paid_search,117.11,Finland
RETAIL-12429,2010-06-01,n/a,organic,61.28,Denmark
RETAIL-12430,2011-10-01,n/a,paid_social,260.91,Norway
RETAIL-12431,2010-01-01,n/a,paid_search,137.63,Australia
RETAIL-12432,2011-06-01,n/a,paid_search,163.87,Norway
RETAIL-12433,2010-08-01,n/a,referral,47.0,Norway
RETAIL-12434,2010-11-01,n/a,referral,57.1,Australia
RETAIL-12435,2009-12-01,n/a,organic,39.29,Denmark
RETAIL-12436,2011-09-01,n/a,organic,45.82,Norway
RETAIL-12437,2009-12-01,n/a,paid_social,234.4,France
RETAIL-12438,2011-07-01,n/a,referral,56.98,Norway
RETAIL-12439,2009-12-01,n/a,referral,54.24,Cyprus
RETAIL-12440,2009-12-01,n/a,referral,38.98,Austria
RETAIL-12441,2010-12-01,n/a,paid_search,121.56,France
RETAIL-12442,2011-12-01,n/a,organic,40.51,Spain
RETAIL-12443,2009-12-01,n/a,referral,72.66,Norway
RETAIL-12444,2011-06-01,n/a,organic,52.17,Norway
RETAIL-12445,2010-10-01,n/a,organic,45.32,Spain
RETAIL-12446,2011-10-01,n/a,paid_social,232.88,RSA
RETAIL-12447,2011-04-01,n/a,paid_search,145.68,Belgium
RETAIL-12448,2011-10-01,n/a,referral,61.18,Spain
RETAIL-12449,2010-09-01,n/a,referral,61.39,Belgium
RETAIL-12450,2010-08-01,n/a,paid_social,269.85,Spain
RETAIL-12451,2010-06-01,n/a,referral,79.78,Switzerland
RETAIL-12452,2011-11-01,n/a,paid_search,110.9,Switzerland
RETAIL-12453,2011-07-01,n/a,paid_search,148.77,Austria
RETAIL-12454,2010-01-01,n/a,referral,52.06,Spain
RETAIL-12455,2009-12-01,n/a,referral,59.2,Cyprus
RETAIL-12456,2011-03-01,n/a,paid_search,155.13,Switzerland
RETAIL-12457,2010-09-01,n/a,paid_social,280.47,Switzerland
RETAIL-12458,2010-08-01,n/a,organic,43.45,Switzerland
RETAIL-12459,2010-04-01,n/a,paid_social,258.36,Spain
RETAIL-12460,2010-09-01,n/a,organic,37.76,Belgium
RETAIL-12461,2011-07-01,n/a,paid_search,200.62,Switzerland
RETAIL-12462,2011-02-01,n/a,paid_social,200.52,Spain
RETAIL-12463,2011-04-01,n/a,organic,43.11,Belgium
RETAIL-12464,2011-02-01,n/a,referral,63.85,Belgium
RETAIL-12465,2011-06-01,n/a,paid_social,173.68,Belgium
RETAIL-12466,2010-01-01,n/a,organic,51.95,France
RETAIL-12467,2010-10-01,n/a,paid_search,161.71,USA
RETAIL-12468,2010-01-01,n/a,paid_search,150.04,Germany
RETAIL-12469,2010-06-01,n/a,referral,53.92,Thailand
RETAIL-12470,2010-01-01,n/a,paid_search,174.14,Unspecified
RETAIL-12471,2009-12-01,n/a,organic,19.55,Germany
RETAIL-12472,2009-12-01,n/a,organic,39.03,Germany
