customer_id,month,mrr
RETAIL-12346,2009-12-01,113.5
RETAIL-12346,2010-01-01,-13.5
RETAIL-12346,2010-03-01,27.05
RETAIL-12346,2010-06-01,-186.23
RETAIL-12346,2010-10-01,-5.5
RETAIL-12346,2011-01-01,0.0
RETAIL-12347,2010-10-01,611.53
RETAIL-12347,2010-12-01,1423.58
RETAIL-12347,2011-01-01,475.39
RETAIL-12347,2011-04-01,636.25
RETAIL-12347,2011-06-01,382.52
RETAIL-12347,2011-08-01,584.91
RETAIL-12347,2011-10-01,1294.32
RETAIL-12347,2011-12-01,224.82
RETAIL-12348,2010-09-01,222.16
RETAIL-12348,2010-12-01,892.8
RETAIL-12348,2011-01-01,227.44
RETAIL-12348,2011-04-01,367.0
RETAIL-12348,2011-09-01,310.0
RETAIL-12349,2009-12-01,-24.15
RETAIL-12349,2010-04-01,1068.52
RETAIL-12349,2010-05-01,200.0
RETAIL-12349,2010-10-01,1402.62
RETAIL-12349,2011-11-01,1757.55
RETAIL-12350,2011-02-01,334.4
RETAIL-12351,2010-11-01,300.93
RETAIL-12352,2010-11-01,343.8
RETAIL-12352,2011-02-01,296.5
RETAIL-12352,2011-03-01,304.68
RETAIL-12352,2011-09-01,632.5
RETAIL-12352,2011-11-01,311.73
RETAIL-12353,2010-10-01,317.76
RETAIL-12353,2011-05-01,89.0
RETAIL-12354,2011-04-01,1079.4
RETAIL-12355,2010-05-01,488.21
RETAIL-12355,2011-05-01,459.4
RETAIL-12356,2010-10-01,910.44
RETAIL-12356,2010-11-01,2651.81
RETAIL-12356,2011-01-01,2271.62
RETAIL-12356,2011-04-01,481.46
RETAIL-12356,2011-11-01,58.35
RETAIL-12357,2010-11-01,12079.99
RETAIL-12357,2011-11-01,6207.67
RETAIL-12358,2009-12-01,1429.83
RETAIL-12358,2010-06-01,268.1
RETAIL-12358,2010-11-01,1021.08
RETAIL-12358,2011-07-01,484.86
RETAIL-12358,2011-12-01,683.2
RETAIL-12359,2009-12-01,760.69
RETAIL-12359,2010-03-01,683.34
RETAIL-12359,2010-04-01,-15.8
RETAIL-12359,2010-06-01,489.8
RETAIL-12359,2010-10-01,551.33
RETAIL-12359,2011-01-01,547.5
RETAIL-12359,2011-02-01,1838.91
RETAIL-12359,2011-04-01,-35.8
RETAIL-12359,2011-06-01,1109.32
RETAIL-12359,2011-10-01,2876.85
RETAIL-12359,2011-12-01,-91.25
