customer_id,signup_date,initial_plan,internet_service,payment_method,acquisition_channel,cac
7590-VHVEG,2023-12-01,Month-to-month,DSL,Electronic check,paid_search,98.56
5575-GNVDE,2021-03-01,One year,DSL,Mailed check,paid_social,271.51
3668-QPYBK,2023-11-01,Month-to-month,DSL,Mailed check,paid_search,130.5
7795-CFOCW,2020-04-01,One year,DSL,Bank transfer (automatic),organic,37.42
9237-HQITU,2023-11-01,Month-to-month,Fiber optic,Electronic check,referral,56.91
9305-CDSKC,2023-05-01,Month-to-month,Fiber optic,Electronic check,paid_social,234.81
1452-KIOVK,2022-03-01,Month-to-month,Fiber optic,Credit card (automatic),organic,48.93
6713-OKOMC,2023-03-01,Month-to-month,DSL,Mailed check,paid_social,283.51
7892-POOKP,2021-09-01,Month-to-month,Fiber optic,Electronic check,paid_search,116.46
6388-TABGU,2018-11-01,One year,DSL,Bank transfer (automatic),referral,57.1
9763-GRSKD,2022-12-01,Month-to-month,DSL,Mailed check,referral,66.86
7469-LKBCI,2022-09-01,Two year,No,Credit card (automatic),organic,50.45
8091-TTVAX,2019-03-01,One year,Fiber optic,Credit card (automatic),organic,48.75
0280-XJGEX,2019-12-01,Month-to-month,Fiber optic,Bank transfer (automatic),referral,45.66
5129-JLPIS,2021-12-01,Month-to-month,Fiber optic,Electronic check,referral,72.92
3655-SNQYZ,2018-04-01,Two year,Fiber optic,Credit card (automatic),paid_search,175.55
8191-XWSZG,2019-09-01,One year,No,Mailed check,paid_social,175.5
9959-WOFKT,2018-02-01,Two year,Fiber optic,Bank transfer (automatic),paid_search,138.03
4190-MFLUW,2023-03-01,Month-to-month,DSL,Credit card (automatic),paid_search,153.75
4183-MYFRB,2022-04-01,Month-to-month,Fiber optic,Electronic check,paid_social,272.38
8779-QRDMV,2023-12-01,Month-to-month,DSL,Electronic check,organic,48.16
1680-VDCWW,2023-01-01,One year,No,Bank transfer (automatic),organic,36.39
1066-JKSGK,2023-12-01,Month-to-month,No,Mailed check,paid_search,184.48
3638-WEABW,2019-03-01,Two year,DSL,Credit card (automatic),organic,36.09
6322-HRPFA,2019-12-01,Month-to-month,DSL,Credit card (automatic),organic,48.81
6865-JZNKO,2021-07-01,Month-to-month,DSL,Bank transfer (automatic),referral,34.57
6467-CHFZW,2020-02-01,Month-to-month,Fiber optic,Electronic check,referral,60.55
8665-UTDHZ,2023-12-01,Month-to-month,DSL,Electronic check,paid_social,198.86
5248-YGIJN,2018-01-01,Two year,DSL,Credit card (automatic),paid_search,131.94
8773-HHUOZ,2022-08-01,Month-to-month,DSL,Mailed check,referral,65.43
3841-NFECX,2018-02-01,Two year,Fiber optic,Credit card (automatic),referral,47.75
4929-XIHVW,2023-11-01,Month-to-month,Fiber optic,Credit card (automatic),organic,28.13
6827-IEAUQ,2021-10-01,One year,DSL,Mailed check,organic,39.1
7310-EGVHZ,2023-12-01,Month-to-month,No,Bank transfer (automatic),organic,21.41
3413-BMNZE,2023-12-01,Month-to-month,DSL,Bank transfer (automatic),paid_search,142.94
6234-RAAPL,2018-01-01,Two year,Fiber optic,Bank transfer (automatic),organic,35.94
6047-YHPVI,2023-08-01,Month-to-month,Fiber optic,Electronic check,referral,35.72
6572-ADKRS,2020-03-01,Month-to-month,Fiber optic,Credit card (automatic),organic,32.72
5380-WJKOV,2021-03-01,Month-to-month,Fiber optic,Electronic check,paid_social,260.88
8168-UQWWF,2023-02-01,Month-to-month,Fiber optic,Bank transfer (automatic),organic,27.82
8865-TNMNX,2023-03-01,One year,DSL,Mailed check,organic,45.37
9489-DEDVP,2018-03-01,Two year,DSL,Credit card (automatic),paid_social,203.54
9867-JCZSP,2022-08-01,One year,No,Mailed check,referral,69.16
4671-VJLCL,2018-10-01,Two year,DSL,Credit card (automatic),paid_social,252.24
4080-IIARD,2022-12-01,Month-to-month,DSL,Electronic check,paid_search,151.47
3714-NTNFO,2019-12-01,Month-to-month,Fiber optic,Electronic check,paid_search,134.21
5948-UJZLF,2023-11-01,Month-to-month,DSL,Mailed check,organic,32.44
7760-OYPDY,2023-11-01,Month-to-month,Fiber optic,Electronic check,referral,49.51
7639-LIAYI,2019-09-01,Two year,DSL,Credit card (automatic),referral,71.31
2954-PIBKO,2018-04-01,Two year,DSL,Credit card (automatic),paid_social,210.06
